"rank","title","description","runtime","genre","rating","votes","metascore","directors","actors","gross_earning_in_mil_doll","certificate_rating"
60,"You Can Choose Your Family","A normal father's family life is turned upside down when his son discovers his dad has another family.",109,"Comedy",5.6,326,41,"Miranda Bailey","Anna Gunn",0.07,"Unrated"
61,"Creed II","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",130,"Drama, Sport",7.2,81727,66,"Steven Caple Jr.","Michael B. Jordan",115.72,"U/A"
62,"In Fabric","In Fabric is a haunting ghost story set against the backdrop of a busy winter sales period in a department store and follows the life of a cursed dress as it passes from person to person, with devastating consequences..",118,"Comedy, Horror",6.5,2646,87,"Peter Strickland","Gwendoline Christie",NA,"R"
63,"The Meg","A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.",113,"Action, Horror, Sci-Fi",5.7,123840,46,"Jon Turteltaub","Jason Statham",143.01,"U/A"
64,"Arctic","A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown.",98,"Adventure, Drama",6.8,26748,71,"Joe Penna","Mads Mikkelsen",2.41,"PG-13"
65,"Capharnaüm","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,"Drama",8.4,26951,75,"Nadine Labaki","Zain Al Rafeea",1.66,"R"
66,"Beautiful Boy","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.",120,"Biography, Drama",7.3,34959,62,"Felix van Groeningen","Steve Carell",7.65,"R"
67,"The House That Jack Built","The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",152,"Crime, Drama, Horror",6.8,41116,42,"Lars von Trier","Matt Dillon",0.09,"R"
68,"Keepers","Three lighthouse keepers on the remote Flannan Isles find a hidden trunk of gold, leading to their mysterious disappearance.",107,"Crime, Mystery, Thriller",5.8,9394,64,"Kristoffer Nyholm","Peter Mullan",NA,"R"
69,"The Nun","A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",96,"Horror, Mystery, Thriller",5.4,98464,46,"Corin Hardy","Demián Bichir",117.44,"R"
70,"Under the Silver Lake","Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",139,"Comedy, Crime, Drama",6.5,21853,60,"David Robert Mitchell","Andrew Garfield",0.05,"R"
71,"Scarborough","Two couples - each comprising of a teacher and a student - spend a life-changing weekend at the seaside resort town of Scarborough.",87,"Drama, Romance",5.5,131,50,"Barnaby Southcombe","Jessica Barden",NA,"Unrated"
72,"Les frères Sisters","In 1850s Oregon, the infamous duo of assassins, Eli and Charlie Sisters, chase a gold prospector and his unexpected ally.",122,"Comedy, Crime, Drama",7,37405,78,"Jacques Audiard","John C. Reilly",3.14,"R"
